2018-12-24 21:40:17, id: test-213535-741, time: 281.652s, received: 12704 msg/s
2018-12-24 21:40:18, id: test-213535-741, time: 282.652s, received: 12497 msg/s
2018-12-24 21:40:19, id: test-213535-741, time: 283.652s, received: 12368 msg/s
2018-12-24 21:40:20, id: test-213535-741, time: 284.652s, received: 12914 msg/s
2018-12-24 21:40:21, id: test-213535-741, time: 285.652s, received: 12620 msg/s
2018-12-24 21:40:22, id: test-213535-741, time: 286.652s, received: 12748 msg/s
2018-12-24 21:40:23, id: test-213535-741, time: 287.652s, received: 12810 msg/s
2018-12-24 21:40:24, id: test-213535-741, time: 288.652s, received: 12659 msg/s
2018-12-24 21:40:25, id: test-213535-741, time: 289.652s, received: 12952 msg/s
2018-12-24 21:40:26, id: test-213535-741, time: 290.652s, received: 12389 msg/s
2018-12-24 21:40:27, id: test-213535-741, time: 291.652s, received: 12585 msg/s
2018-12-24 21:40:28, id: test-213535-741, time: 292.652s, received: 12319 msg/s
2018-12-24 21:40:29, id: test-213535-741, time: 293.652s, received: 12729 msg/s
2018-12-24 21:40:30, id: test-213535-741, time: 294.652s, received: 12688 msg/s
2018-12-24 21:40:31, id: test-213535-741, time: 295.652s, received: 12598 msg/s
2018-12-24 21:40:32, id: test-213535-741, time: 296.652s, received: 12790 msg/s
2018-12-24 21:40:33, id: test-213535-741, time: 297.652s, received: 12939 msg/s
2018-12-24 21:40:34, id: test-213535-741, time: 298.652s, received: 12876 msg/s
2018-12-24 21:40:35, id: test-213535-741, time: 299.652s, received: 12706 msg/s
2018-12-24 21:40:36, id: test-213535-741, time: 300.652s, received: 12576 msg/s
2018-12-24 21:40:37, id: test-213535-741, time: 301.652s, received: 12215 msg/s
2018-12-24 21:40:38, id: test-213535-741, time: 302.652s, received: 12646 msg/s
2018-12-24 21:40:39, id: test-213535-741, time: 303.652s, received: 12680 msg/s
2018-12-24 21:40:40, id: test-213535-741, time: 304.652s, received: 12812 msg/s
2018-12-24 21:40:41, id: test-213535-741, time: 305.652s, received: 12874 msg/s
2018-12-24 21:40:42, id: test-213535-741, time: 306.652s, received: 13082 msg/s
2018-12-24 21:40:43, id: test-213535-741, time: 307.652s, received: 12916 msg/s
2018-12-24 21:40:44, id: test-213535-741, time: 308.652s, received: 10904 msg/s
2018-12-24 21:40:45, id: test-213535-741, time: 309.652s, received: 12427 msg/s
2018-12-24 21:40:46, id: test-213535-741, time: 310.652s, received: 13044 msg/s
2018-12-24 21:40:47, id: test-213535-741, time: 311.652s, received: 12538 msg/s
2018-12-24 21:40:48, id: test-213535-741, time: 312.652s, received: 12099 msg/s
2018-12-24 21:40:49, id: test-213535-741, time: 313.652s, received: 12920 msg/s
2018-12-24 21:40:50, id: test-213535-741, time: 314.652s, received: 12414 msg/s
2018-12-24 21:40:51, id: test-213535-741, time: 315.652s, received: 12469 msg/s
2018-12-24 21:40:52, id: test-213535-741, time: 316.652s, received: 12403 msg/s
2018-12-24 21:40:53, id: test-213535-741, time: 317.652s, received: 12626 msg/s
2018-12-24 21:40:54, id: test-213535-741, time: 318.652s, received: 12250 msg/s
2018-12-24 21:40:55, id: test-213535-741, time: 319.652s, received: 12644 msg/s
2018-12-24 21:40:56, id: test-213535-741, time: 320.652s, received: 12589 msg/s
2018-12-24 21:40:57, id: test-213535-741, time: 321.652s, received: 12408 msg/s
2018-12-24 21:40:58, id: test-213535-741, time: 322.652s, received: 12195 msg/s
2018-12-24 21:40:59, id: test-213535-741, time: 323.652s, received: 12206 msg/s
2018-12-24 21:41:00, id: test-213535-741, time: 324.652s, received: 12640 msg/s
2018-12-24 21:41:01, id: test-213535-741, time: 325.652s, received: 12118 msg/s
2018-12-24 21:41:02, id: test-213535-741, time: 326.652s, received: 12488 msg/s
2018-12-24 21:41:03, id: test-213535-741, time: 327.652s, received: 12398 msg/s
2018-12-24 21:41:04, id: test-213535-741, time: 328.652s, received: 12394 msg/s
2018-12-24 21:41:05, id: test-213535-741, time: 329.652s, received: 12154 msg/s
2018-12-24 21:41:06, id: test-213535-741, time: 330.652s, received: 12395 msg/s
2018-12-24 21:41:07, id: test-213535-741, time: 331.652s, received: 12569 msg/s
2018-12-24 21:41:08, id: test-213535-741, time: 332.652s, received: 12502 msg/s
2018-12-24 21:41:09, id: test-213535-741, time: 333.652s, received: 12622 msg/s
2018-12-24 21:41:10, id: test-213535-741, time: 334.652s, received: 12570 msg/s
2018-12-24 21:41:11, id: test-213535-741, time: 335.652s, received: 12676 msg/s
2018-12-24 21:41:12, id: test-213535-741, time: 336.652s, received: 12636 msg/s
2018-12-24 21:41:13, id: test-213535-741, time: 337.652s, received: 12220 msg/s
2018-12-24 21:41:14, id: test-213535-741, time: 338.652s, received: 12256 msg/s
2018-12-24 21:41:15, id: test-213535-741, time: 339.652s, received: 12466 msg/s
